ID;Employment_Status;Employment_Status_Aggregated;Work_as_Contractor_12m;Work_as_Perm;Residence_Country;Residence_District;Residence_District_Aggregated;Work_Company_Country;Work_Company_Continent;Work_Company_PT_International;Work_Company_PT_District;Work_Company_PT_District_Aggregated;Remote_Working_Current;Remote_Working_Current_Flexible_Office_Days;Remote_Working_due_to_Covid;Job_Remote_or_Office;Remote_Work_Opinion;Job_Role_Original;Job_Role_Other;Job_Role;Employer_Industry;Employer_Industry_Other;Employer_Org_Type;Employer_Org_Type_Other;Employer_Size;Language_JavaScript;Language_Bash/Shell/PowerShell;Language_SQL;Language_Java;Language_C#;Language_Python;Language_PHP;Language_C++;Language_C;Language_TypeScript;Language_Ruby;Language_Swift;Language_Objective-C;Language_VB.NET;Language_Assembly;Language_R;Language_Perl;Language_VBA;Language_Matlab;Language_Go;Language_Scala;Language_Groovy;Language_Coffee Script;Language_Visual Basic 6;Language_Lua;Language_Haskell;Language_HTML/CSS;Language_Kotlin;Language_Rust;Language_Elixir;Language_Clojure;Language_WebAssembly;Language_Dart;Language_Languages_N/A;Language_Languages_Other;Framework_jQuery;Framework_.NET;Framework_Angular/Angular.js;Framework_Ruby on Rails;Framework_React;Framework_Django;Framework_Laravel;Framework_Spring;Framework_Vue.js;Framework_Express;Framework_Meteor;Framework_Flask;Framework_Ember.js;Framework_Drupal;Framework_OutSystems;Framework_Framework_N/A;Framework_Framework_Other;Contractor_Avg_Project;Contractor_Avg_Project_Intervals;Contractor_Avg_Hour_Rate;Contractor_Avg_Annual_Salary;Perm_Current_Company_how_long;Perm_GAS;Perm_GAS_Avg;Perm_GAS_Low_Limit;Perm_GAS_High_Limit;Avg_Salary;Salary_Change;Salary_Fairness;Changing_Jobs_next_6_months;Job_Motivator_Work_life_balance;Job_Motivator_Compensation_and_benefits;Job_Motivator_Training/Development_programs_at_work;Job_Motivator_Career_growth_opportunities;Job_Motivator_Remote_working;Job_Motivator_Flexible_schedule;Job_Motivator_Company_culture;Job_Motivator_The_technologies_I'm_working_with;Job_Motivator_Versatility/Variety_of_projects;Job_Motivator_Freedom_to_choose_the_clients_and/or_projects;Job_Motivator_Being_autonomous_at_work;Job_Motivator_How_widely_used_or_impactful_the_product/service_I_work_on_is;Job_Motivator_Environmentally_friendly/responsible_work_practice;Job_Perk_Meals_allowance/Company_provided_meals_or_snacks;Job_Perk_Transportation_benefit;Job_Perk_Health_benefits;Job_Perk_Fitness_or_wellness_benefit_(ex._gym_membership);Job_Perk_Computer/_Office_equipment_allowance;Job_Perk_Professional_development_sponsorship;Job_Perk_Annual_bonus;Job_Perk_Long-term_leave;Job_Perk_Parental_leave;Job_Perk_Stock_options_or_shares;Job_Perk_Education_sponsorship;Job_Perk_Child_care;Citizenship;Birth_Year;Age;Gender;English_Level;Way_Into_Tech;Way_Into_Tech_Other;Education_Level;Working_Experience;Working_Experience_Aggregated
103;Employed full-time;Permanent Employee;0;;Portugal;Braga;North;Portugal;Europe;Portugal;Braga;North;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;5;Full-Stack Developer;;Full-Stack Developer;Internet;;SME - Small or Medium Enterprise (personnel <250);;10 - 19 employees;JavaScript;;SQL;;;;PHP;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;jQuery;;;;;;Laravel;;;;;;;;;;;;;;;Less than one year;< €15.000;12500;0;15000;12500;Hasn't changed;1;3;5;5;6;7;5;6;7;6;6;6;7;5;7;5;7;5;2;7;5;7;6;6;1;5;5;Portuguese;1997;24;Male;Full professional proficiency;;"Since I have 6 years old. I decide o want to be a ""man of cumputers"". 10 yrs learn my first language,pascal.";Bachelor degree;Between 3 - 6 years;3 - 6 years
104;Employed full-time;Permanent Employee;0;;Portugal;Porto;Porto Metropolitan Area;Netherlands;Europe;International;;;Flexible between remote and office;5;Working remote because of Covid-19;Full Office Job;3;Back-End Developer;;Back-End Developer;Healthcare or social services;;SME - Small or Medium Enterprise (personnel <250);;20 - 99 employees;;;;;C#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.NET;;;;;;;;;;;;;;;;;;;;Between 1 - 3 years;€25.000 - €30.000;27500;25000;30000;27500;Hasn't changed;6;1;7;1;3;1;1;5;1;6;1;1;1;7;7;1;1;1;1;1;3;1;1;1;1;1;1;Portuguese;1978;43;Male;Professional working proficiency;University;;Bachelor degree;More than 9 years;6+ years
105;Employed full-time;Permanent Employee;0;;Portugal;Viana do Castelo;North;USA;North America;International;;;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);6;Data Scientist/Data Engineer;;Data Scientist/Data Engineer;Cloud-based solutions or services;;"Scale-up (fast growing company aka ""unicorn"")";;1000 - 4.999 employees;;;;;;;;;;;;;;;;;;;;;Scala;;;;;;;;;Elixir;;;;;;;;;;;;;;;;;;;;;;Spark, Kafka, Flink;;;;;Between 1 - 3 years;€35.000 - €40.000;37500;35000;40000;37500;]5%,15%];6;1;6;6;5;6;5;6;5;7;7;7;7;7;6;4;4;6;5;6;6;5;5;3;6;4;3;Portuguese;1996;25;Male;Full professional proficiency;University;;Bachelor degree;Between 3 - 6 years;3 - 6 years
106;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;4;Full-Stack Developer;;Full-Stack Developer;Consulting;;Consulting Business;;More than 5.000 employees;;;;;C#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;React;;;;;;;Flask;;;;;;;;;;Less than one year;< €15.000;12500;0;15000;12500;Hasn't changed;4;3;5;5;5;6;4;5;5;6;4;4;4;4;5;6;6;6;6;6;5;4;6;4;4;5;6;Portuguese;1998;23;Male;Professional working proficiency;University;;Bachelor degree;Less than 1 year;0 - 3 years
107;Employed full-time;Permanent Employee;1;;Portugal;Castelo Branco;Centre;Portugal;Europe;Portugal;Castelo Branco;Centre;Flexible between remote and office;5;My job is remote (full or flexible) by definition;Remote Job (full or flexible);6;Full-Stack Developer;;Full-Stack Developer;Cloud-based solutions or services;;"Scale-up (fast growing company aka ""unicorn"")";;1000 - 4.999 employees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OutSystems;jQuery;.NET;;;React;;;;;;;;;;Outsystems;;;;;;;More than 3 years;€20.000 - €25.000;22500;20000;25000;22500;Increased more than 15%;1;4;7;4;7;6;7;4;2;7;7;2;7;3;2;7;3;7;4;7;3;7;1;3;7;3;1;Portuguese;1996;25;Male;Professional working proficiency;University;;Bachelor degree;Between 3 - 6 years;3 - 6 years
108;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;4;UX/UI Designer;;UX/UI Designer;Data and analytics;;Startup (new business venture);;100 - 499 employees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;;;;;;;;;;;;N/A;;;;;;More than 3 years;€35.000 - €40.000;37500;35000;40000;37500;]0%, 5%];6;3;7;7;6;6;6;6;5;4;4;4;6;6;6;7;5;6;5;6;5;6;5;6;5;6;6;Portuguese;1995;26;Female;Professional working proficiency;University;;Bachelor degree;Between 3 - 6 years;3 - 6 years
109;Employed full-time;Permanent Employee;1;;Portugal;Porto;Porto Metropolitan Area;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;5;Full-Stack Developer;;Full-Stack Developer;Web development or design;;SME - Small or Medium Enterprise (personnel <250);;Less than 10 employees;JavaScript;;SQL;;;;PHP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;jQuery;;;;;;;;;;;;;;;;;;;;;Between 1 - 3 years;€20.000 - €25.000;22500;20000;25000;22500;Hasn't changed;3;5;7;7;6;7;4;4;5;6;5;5;7;5;6;3;3;3;4;6;7;4;7;7;4;6;7;Portuguese;1991;30;Male;Full professional proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
110;Employed full-time;Permanent Employee;0;;Portugal;Braga;North;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);7;Mobile Apps Developer;;Mobile Apps Developer;Software development - other;;SME - Small or Medium Enterprise (personnel <250);;20 - 99 employees;;;;Java;;;;;;;;Swift;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;Between 1 - 3 years;€25.000 - €30.000;27500;25000;30000;27500;Hasn't changed;5;3;7;6;6;5;6;4;4;6;5;6;6;5;6;4;4;6;4;7;4;7;5;5;6;5;6;Italian;1987;34;Male;Professional working proficiency;Self-taught;;Bachelor degree;Between 1 - 3 years;0 - 3 years
111;Employed full-time;Permanent Employee;0;;Portugal;Porto;Porto Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);7;Full-Stack Developer;;Full-Stack Developer;Retail or ecommerce;;Startup (new business venture);;20 - 99 employees;JavaScript;;;;;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;Less than one year;< €15.000;12500;0;15000;12500;Decreased more than 15%;4;5;5;7;6;7;7;7;7;7;5;6;6;5;7;7;6;7;7;7;7;7;5;1;7;1;1;Portuguese;1998;23;Female;Professional working proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
112;Employed full-time;Permanent Employee;0;;Portugal;Braga;North;Portugal;Europe;Portugal;Braga;North;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;6;Computer & Network Security;;Computer & Network Security;Manufacturing;;Corporate;;More than 5.000 employees;;Bash/Shell/PowerShell;;;C#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.NET;;;;;;;;;;;;;;;;;;;;Less than one year;€35.000 - €40.000;37500;35000;40000;37500;]5%,15%];6;1;6;5;5;5;5;5;5;5;5;3;2;6;5;7;5;7;5;7;7;7;7;7;7;7;7;Portuguese;1979;42;Male;Full professional proficiency;University;;Bachelor degree;More than 9 years;6+ years
113;Employed full-time;Permanent Employee;0;;Portugal;Bragança;North;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;Flexible between remote and office;1;My job is remote (full or flexible) by definition;Remote Job (full or flexible);5;Full-Stack Developer;;Full-Stack Developer;Transportation;;Corporate;;More than 5.000 employees;JavaScript;Bash/Shell/PowerShell;;Java;;;;;;TypeScript;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;Angular/Angular.js;;;;;;;;;;;;;;;;;;;Between 1 - 3 years;€20.000 - €25.000;22500;20000;25000;22500;]5%,15%];4;1;7;6;6;6;6;7;6;6;6;5;7;7;6;6;7;7;5;5;5;7;7;7;7;6;6;Portuguese;1995;26;Male;Professional working proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
114;Employed full-time;Permanent Employee;1;;Portugal;Viseu;Centre;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);6;Back-End Developer;;Back-End Developer;Telecommunications;;Corporate;;More than 5.000 employees;JavaScript;;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Angular/Angular.js;;;;;;;;;;;;;;;;;;;More than 3 years;€35.000 - €40.000;37500;35000;40000;37500;]0%, 5%];3;3;5;6;7;7;7;5;5;7;7;5;7;6;5;2;4;6;7;7;7;7;6;6;4;7;7;Portuguese;1987;34;Male;Professional working proficiency;University;;Bachelor degree;Between 6 - 9 years;6+ years
115;Employed full-time;Permanent Employee;1;;Portugal;Bragança;North;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;6;Back-End Developer;;Back-End Developer;Cloud-based solutions or services;;Consulting Business;;1000 - 4.999 employees;;;SQL;;;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;.NET;;;;;;;;;;;;;;;;;;;;Less than one year;< €15.000;12500;0;15000;12500;Hasn't changed;6;1;7;6;7;7;7;7;6;7;5;4;6;7;7;7;5;7;7;7;6;5;7;7;7;6;7;Portuguese;1994;27;Female;Professional working proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
116;Employed full-time;Permanent Employee;0;;Portugal;Braga;North;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;Flexible between remote and office;1;My job is remote (full or flexible) by definition;Remote Job (full or flexible);5;Full-Stack Developer;;Full-Stack Developer;Cloud-based solutions or services;;SME - Small or Medium Enterprise (personnel <250);;20 - 99 employees;;;SQL;Java;;;;;;TypeScript;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;Angular/Angular.js;;;;;Spring;;;;;;;;;;;;;;Between 1 - 3 years;€15.000 - €20.000;17500;15000;20000;17500;Hasn't changed;3;3;7;5;6;6;6;6;4;5;2;2;4;4;3;5;5;7;4;6;5;6;4;6;4;5;4;Portuguese;1997;24;Male;Professional working proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
117;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;7;Full-Stack Developer;;Full-Stack Developer;Energy or utilities;;Nearshore (outsource business processes to companies in a nearby country);;100 - 499 employees;JavaScript;;;Java;;;;;;TypeScript;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;React;;;Spring;;;;;;;;;;;;;;Between 1 - 3 years;€40.000 - €45.000;42500;40000;45000;42500;Hasn't changed;6;3;7;7;7;7;5;5;6;7;5;5;6;5;6;5;5;6;5;6;5;7;6;6;6;6;6;Brazilian;1990;31;Male;Professional working proficiency;University;;Bachelor degree;Between 6 - 9 years;6+ years
118;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;7;Full-Stack Developer;;Full-Stack Developer;Financial and banking;;Outsourcing;;More than 5.000 employees;JavaScript;;SQL;Java;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Spring;;;;;;;;;ExtJs;;;;;Less than one year;€40.000 - €45.000;42500;40000;45000;42500;Increased more than 15%;5;3;7;7;2;5;7;7;4;6;5;4;5;6;2;5;4;3;1;5;5;7;7;7;6;4;6;Portuguese;1992;29;Male;Full professional proficiency;University;;Bachelor degree;Between 3 - 6 years;3 - 6 years
119;Employed full-time;Permanent Employee;0;;Portugal;Aveiro;Centre;Portugal;Europe;Portugal;Coimbra;Centre;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;3;Front-End Developer;;Front-End Developer;Cloud-based solutions or services;;"Scale-up (fast growing company aka ""unicorn"")";;1000 - 4.999 employees;;;;;;;;;;TypeScript;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;React;;;;;;;;;;;;;;;;;Less than one year;€20.000 - €25.000;22500;20000;25000;22500;Hasn't changed;7;1;7;7;7;7;6;6;7;7;5;5;7;5;6;7;6;7;5;7;6;5;5;6;4;6;6;Portuguese;1999;22;Female;Professional working proficiency;University;;Bachelor degree;Less than 1 year;0 - 3 years
120;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Flexible between remote and office;4;My job is remote (full or flexible) by definition;Remote Job (full or flexible);6;Product Owner/Product Manager;;Product Owner/Product Manager;Healthcare or social services;;Corporate;;500 - 999 employees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;;;;;;;;;;;;N/A;;;;;;More than 3 years;€45.000 - €50.000;47500;45000;50000;47500;Hasn't changed;4;4;6;5;5;6;5;6;6;5;5;4;4;6;4;4;4;6;6;6;6;7;4;4;4;3;5;Portuguese;1981;40;Male;Professional working proficiency;University;;Bachelor degree;More than 9 years;6+ years
121;Employed full-time;Permanent Employee;0;;Portugal;Braga;North;USA;North America;International;;;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;4;UX/UI Designer;;UX/UI Designer;Financial and banking;;Startup (new business venture);;100 - 499 employees;JavaScript;;;;;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;;;React;;;;;;;;;;;;;;;;;Between 1 - 3 years;€20.000 - €25.000;22500;20000;25000;22500;]0%, 5%];4;4;5;6;5;6;4;4;6;6;6;6;6;7;6;5;6;6;6;6;5;6;5;6;6;5;5;Portuguese;1990;31;Male;Elementary;University;;Bachelor degree;Between 6 - 9 years;6+ years
122;Employed full-time;Permanent Employee;1;;Portugal;Faro;South;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;5;Full-Stack Developer;;Full-Stack Developer;Consulting;;Consulting Business;;20 - 99 employees;JavaScript;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;Less than one year;< €15.000;12500;0;15000;12500;Hasn't changed;4;3;4;7;7;7;5;7;7;4;4;4;5;4;6;7;6;7;5;7;5;7;5;7;5;7;7;Portuguese;1996;25;Female;Professional working proficiency;University;;Bachelor degree;Less than 1 year;0 - 3 years
123;Employed full-time;Permanent Employee;1;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;6;Back-End Developer;;Back-End Developer;Consulting;;SME - Small or Medium Enterprise (personnel <250);;100 - 499 employees;;;SQL;;C#;;;C++;;;;;;;;;;VBA;;;;;;;;;HTML/CSS;;;;;;;;;;.NET;;;;;;;;;;;;;;N/A;;;;;;Between 1 - 3 years;< €15.000;12500;0;15000;12500;Hasn't changed;4;3;6;5;6;6;6;6;6;7;5;6;5;6;7;7;7;5;5;6;5;5;6;6;5;6;7;Portuguese;1996;25;Male;Professional working proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
124;Employed full-time;Permanent Employee;0;;Portugal;Porto;Porto Metropolitan Area;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;No, full office job;;;Full Office Job;5;Front-End Developer;;Front-End Developer;Internet;;Corporate;;1000 - 4.999 employees;JavaScript;;;;;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;;;React;;;;;;;;;;;;;;;;;Between 1 - 3 years;€35.000 - €40.000;37500;35000;40000;37500;]5%,15%];4;3;7;6;6;7;5;5;7;7;6;5;6;7;5;7;5;7;1;7;6;6;7;7;4;7;7;Portuguese;1987;34;Male;Full professional proficiency;Self-taught;;Bachelor degree;Between 6 - 9 years;6+ years
125;Employed full-time;Permanent Employee;1;;Portugal;Aveiro;Centre;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;5;Scrum Master;;Scrum Master;Cloud-based solutions or services;;Corporate;;More than 5.000 employees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;;;;;;;;;;;;N/A;;;;;;Between 1 - 3 years;€65.000 - €70.000;67500;65000;70000;67500;]0%, 5%];7;1;7;7;7;7;4;7;5;1;1;1;7;6;7;7;7;7;1;7;1;7;1;7;1;1;1;Portuguese;1988;33;I prefer not to say;Full professional proficiency;Self-taught;;Bachelor degree;Between 6 - 9 years;6+ years
126;Employed full-time;Permanent Employee;0;;Portugal;Braga;North;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;6;Solutions Architect;;Solutions Architect;Financial and banking;;Consulting Business;;500 - 999 employees;JavaScript;;SQL;;C#;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;jQuery;.NET;Angular/Angular.js;;;;;;;;;;;;;;;;;;;More than 3 years;€25.000 - €30.000;27500;25000;30000;27500;]0%, 5%];1;4;7;7;5;6;4;7;7;5;4;3;6;3;5;6;4;7;3;7;4;7;6;7;4;4;4;Portuguese;1980;41;Male;Full professional proficiency;University;;Bachelor degree;More than 9 years;6+ years
127;Employed full-time;Permanent Employee;1;;Portugal;Porto;Porto Metropolitan Area;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;5;Front-End Developer;;Front-End Developer;Financial and banking;;SME - Small or Medium Enterprise (personnel <250);;20 - 99 employees;JavaScript;;SQL;;;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;;;React;;;;;;;;;;;;;;;;;Between 1 - 3 years;€15.000 - €20.000;17500;15000;20000;17500;]5%,15%];5;4;7;6;7;7;6;7;7;6;7;4;5;4;6;4;5;7;4;7;5;7;4;5;5;4;4;Portuguese;1993;28;Male;Limited working proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
128;Employed full-time;Permanent Employee;0;;Portugal;Porto;Porto Metropolitan Area;Germany;Europe;International;;;Flexible between remote and office;2;My job is remote (full or flexible) by definition;Remote Job (full or flexible);5;Scrum Master;;Scrum Master;Cloud-based solutions or services;;Corporate;;More than 5.000 employees;;;SQL;Java;;;;;;TypeScript;;;;;;;;;;;;;;;;;;;;;;;;;;;;Angular/Angular.js;;;;;;;;;;;;;;;;;;;Between 1 - 3 years;€30.000 - €35.000;32500;30000;35000;32500;]0%, 5%];6;3;6;6;6;5;4;5;6;5;6;5;6;6;6;2;4;7;7;7;7;4;4;4;6;6;7;Portuguese;1983;38;Male;Full professional proficiency;University;;Bachelor degree;Between 6 - 9 years;6+ years
129;Employed full-time;Permanent Employee;0;;Portugal;Coimbra;Centre;Portugal;Europe;Portugal;Coimbra;Centre;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;6;Front-End Developer;;Front-End Developer;Media, advertising, publishing, or entertainment;;SME - Small or Medium Enterprise (personnel <250);;20 - 99 employees;JavaScript;Bash/Shell/PowerShell;SQL;;;;PHP;;;TypeScript;;;;;;;;;;;;;;;;;HTML/CSS;;Rust;;;;;;;jQuery;;Angular/Angular.js;;;;;;;Express;;;;;;;;;;;;Between 1 - 3 years;< €15.000;12500;0;15000;12500;]5%,15%];5;2;7;6;6;7;6;6;4;7;5;3;5;5;4;6;4;6;5;7;5;5;6;6;3;5;4;Portuguese;1996;25;Male;Full professional proficiency;Self-taught;;Bachelor degree;Between 1 - 3 years;0 - 3 years
130;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Germany;Europe;International;;;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);5;DevOps Engineer;;DevOps Engineer;Information technology;;Consulting Business;;More than 5.000 employees;JavaScript;;SQL;Java;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;Between 1 - 3 years;€45.000 - €50.000;47500;45000;50000;47500;]0%, 5%];5;3;4;7;6;7;5;5;5;6;3;3;6;6;6;2;2;7;4;3;7;5;6;7;4;2;7;Portuguese;1987;34;Male;Professional working proficiency;University;;Bachelor degree;Between 6 - 9 years;6+ years
131;Working as a Contractor/Freelancer;Contractor;;1;Portugal;Coimbra;Centre;Portugal;Europe;Portugal;Coimbra;Centre;Flexible between remote and office;3;Working remote because of Covid-19;Full Office Job;7;Full-Stack Developer;;Full-Stack Developer;Government or public administration;;Nearshore (outsource business processes to companies in a nearby country);;100 - 499 employees;JavaScript;;;Java;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Angular/Angular.js;;;;;Spring;;;;;;;;;;12;7 to 12 months;7;11200;;;;;;11200;]5%,15%];1;4;7;7;4;4;7;7;4;7;6;5;6;5;7;5;4;4;5;5;5;6;5;5;5;5;5;Portuguese;1997;24;Male;Limited working proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
132;Employed full-time;Permanent Employee;0;;Portugal;Setúbal;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;4;Full-Stack Developer;;Full-Stack Developer;Software as a service (saas) development;;Startup (new business venture);;20 - 99 employees;JavaScript;;SQL;Java;;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;jQuery;;;;;;;;;;;;;;;;Play Framework;;;;;Less than one year;€15.000 - €20.000;17500;15000;20000;17500;Increased more than 15%;6;1;5;5;3;6;5;6;6;6;1;1;1;3;4;4;4;6;3;6;4;2;2;2;1;3;2;Portuguese;1998;23;Male;Professional working proficiency;University;;Bachelor degree;Less than 1 year;0 - 3 years
133;Employed full-time;Permanent Employee;0;;Portugal;Aveiro;Centre;Portugal;Europe;Portugal;Aveiro;Centre;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;4;Full-Stack Developer;;Full-Stack Developer;Web development or design;;SME - Small or Medium Enterprise (personnel <250);;10 - 19 employees;JavaScript;;SQL;;;;PHP;;;TypeScript;;;;;;;;;;;;;;;;;;;;;;;;;;jQuery;;Angular/Angular.js;;React;;Laravel;;;;;;;;;;;;;;;Less than one year;< €15.000;12500;0;15000;12500;Hasn't changed;1;3;4;3;4;3;4;4;4;4;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Portuguese;1997;24;Female;Elementary;University;;Bachelor degree;Less than 1 year;0 - 3 years
134;Employed full-time;Permanent Employee;1;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);4;Front-End Developer;;Front-End Developer;Marketing;;SME - Small or Medium Enterprise (personnel <250);;100 - 499 employees;JavaScript;Bash/Shell/PowerShell;;;C#;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;jQuery;.NET;;;;;;;Vue.js;;;;;;;;;;;;;More than 3 years;€15.000 - €20.000;17500;15000;20000;17500;Hasn't changed;4;3;7;6;7;7;4;5;5;7;6;4;5;5;6;7;5;6;5;6;7;5;6;7;5;6;5;Portuguese;1982;39;Female;Professional working proficiency;Code bootcamp;;Bachelor degree;Between 3 - 6 years;3 - 6 years
135;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;6;Full-Stack Developer;;Full-Stack Developer;Financial and banking;;Corporate;;More than 5.000 employees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobol;;;;;;;;;;;;;;;;N/A;;;;;;More than 3 years;€30.000 - €35.000;32500;30000;35000;32500;]5%,15%];4;2;5;5;4;3;6;6;4;4;6;4;5;5;7;3;3;6;4;5;4;5;4;5;5;5;4;Andorran;1977;44;Male;Professional working proficiency;University;;Bachelor degree;More than 9 years;6+ years
